"","Species","family","X2013","X2014","X2015","X2016","X2017","X2018","Total","value.sum","value.mean","value.sd","value.min","value.max","value.length"
"Cathartosilvanus imbellus","Cathartosilvanus imbellus","Silvanidae",0,0,0,0,7,0,7,14,2,3.41565025531987,0,7,7
"Corthylus punctatissimus","Corthylus punctatissimus","Curculionidae",0,0,1,8,6,0,15,30,4.28571428571429,5.73626724488686,0,15,7
"Catogenus spp","Catogenus spp","Passandridae",2,0,0,1,0,6,9,18,2.57142857142857,3.5523298860111,0,9,7
"Ceutorhynchus spp","Ceutorhynchus spp","Curculionidae",1,0,0,12,12,0,25,50,7.14285714285714,9.63376996868432,0,25,7
"Chrysobothris spp","Chrysobothris spp","Buprestidae",1,0,0,0,0,4,5,10,1.42857142857143,2.14919697074224,0,5,7
"Chrysopidae","Chrysopidae","Chrysopidae",1,6,0,16,7,0,30,60,8.57142857142857,11.0129793555474,0,30,7
"Conotrachelus spp","Conotrachelus spp","Curculionidae",0,4,32,157,44,3,240,480,68.5714285714286,93.3806852670957,0,240,7
"Curculio spp","Curculio spp","Curculionidae",0,0,2,3,0,0,5,10,1.42857142857143,1.98805959477601,0,5,7
"Elaphidion mucronatum","Elaphidion mucronatum","Cerambycidae",1,0,9,1,1,0,12,24,3.42857142857143,4.92805380304581,0,12,7
"Eupogonius pauper","Eupogonius pauper","Cerambycidae",0,1,5,5,0,0,11,22,3.14285714285714,4.14039335605413,0,11,7
"Euwallacea validus","Euwallacea validus","Curculionidae",2,1,1,0,0,0,4,8,1.14285714285714,1.4638501094228,0,4,7
"Hemerobiidae","Hemerobiidae","Hemerobiidae",21,41,0,76,2,2,142,284,40.5714285714286,52.5162106492117,0,142,7
"Histeridae","Histeridae","Histeridae",0,1,0,78,89,20,188,376,53.7142857142857,70.182415380004,0,188,7
"Hylastes spp","Hylastes spp","Curculionidae",0,0,1,0,0,0,1,2,0.285714285714286,0.487950036474267,0,1,7
"Hylocurus spp","Hylocurus spp","Curculionidae",0,0,3,0,3,0,6,12,1.71428571428571,2.36038737740833,0,6,7
"Hypothenemus spp","Hypothenemus spp","Curculionidae",0,3,6,16,38,0,63,126,18,23.9652526240249,0,63,7
"Obrium maculatum","Obrium maculatum","Cerambycidae",0,0,2,0,0,0,2,4,0.571428571428571,0.975900072948533,0,2,7
"Ichneumonidae","Ichneumonidae","Ichneumonidae",0,23,3,64,41,5,136,272,38.8571428571429,48.7627883104476,0,136,7
"Liopinus alpha","Liopinus alpha","Cerambycidae",0,0,10,4,3,0,17,34,4.85714285714286,6.44020112078734,0,17,7
"Madoniella dislocata","Madoniella dislocata","Cleridae",0,1,8,35,15,1,60,120,17.1428571428571,22.5789619736941,0,60,7
"Neoclytus mucronatus","Neoclytus mucronatus","Cerambycidae",0,0,0,1,0,4,5,10,1.42857142857143,2.14919697074224,0,5,7
"Neorthopleura thoracica","Neorthopleura thoracica","Cleridae",2,4,7,6,4,0,23,46,6.57142857142857,7.61264612026468,0,23,7
"Notoxus spp","Notoxus spp","Anthicidae",10,39,3,5,0,0,57,114,16.2857142857143,22.5367424865432,0,57,7
"Phymatodes amoenus","Phymatodes amoenus","Cerambycidae",2,0,0,5,3,1,11,22,3.14285714285714,3.89138242053607,0,11,7
"Pityophthorus spp","Pityophthorus spp","Curculionidae",0,11,2,1,1,0,15,30,4.28571428571429,6.10230245383619,0,15,7
"Plocamus echidna","Plocamus echidna","Curculionidae",0,0,0,5,1,0,6,12,1.71428571428571,2.62769136406122,0,6,7
"Scolytus sp","Scolytus sp","Curculionidae",0,0,6,4,2,0,12,24,3.42857142857143,4.42933941113657,0,12,7
"Texania campestris","Texania campestris","Buprestidae",0,0,0,5,0,0,5,10,1.42857142857143,2.43975018237133,0,5,7
"Tenebroides spp","Tenebroides spp","Trogossitidae",14,0,0,3136,43,3,3196,6392,913.142857142857,1539.16410523932,0,3196,7
"Xyleborinus saxeseni","Xyleborinus saxeseni","Curculionidae",813,809,1357,3352,1746,22,8099,16198,2314,2755.40172509684,22,8099,7
"Xylobiops basilaris","Xylobiops basilaris","Bostrichidae",8,24,138,158,41,3,372,744,106.285714285714,132.693524440989,3,372,7
"Xylosandrus crassiusculus","Xylosandrus crassiusculus","Curculionidae",190,131,417,2825,2343,17,5923,11846,1692.28571428571,2188.33366699305,17,5923,7
